combined_csv
parent;name;rate
Zia;Sofia;6
Zia;Giulia;6
Zia;Alice;7
Zia;Aurora;3
Zia;Ginevra;0
Zia;Emma;5
Zia;Giorgia;0
Zia;Greta;0
Zia;Martina;3
Zia;Beatrice;0
Zia;Anna;0
Zia;Chiara;6
Zia;Sara;0
Zia;Nicole;0
Zia;Ludovica;0
Zia;Gaia;0
Zia;Matilde;0
Zia;Vittoria;3
Zia;Noemi;4
Zia;Francesca;0
Zia;Alessia;3
Zia;Camilla;4
Zia;Bianca;3
Zia;Arianna;1
Zia;Rebecca;1
Zia;Viola;0
Zia;Mia;6
Zia;Elisa;3
Zia;Giada;6
Zia;Adele;7
Zia;Marta;1
Zia;Gioia;0
Zia;Asia;0
Zia;Maria;1
Zia;Isabel;0
Zia;Melissa;0
Zia;Carlotta;0
Zia;Eleonora;0
Zia;Miriam;0
Zia;Emily;7
Zia;Irene;0
Zia;Margherita;0
Zia;Anita;1
Zia;Benedetta;0
Zia;Caterina;0
Zia;Azzurra;0
Zia;Eva;4
Zia;Rachele;3
Zia;Cecilia;0
Zia;Maya;6
Zia;Simona;0
Zia;Zoe;1
Zia;Cloe;5
Zia;Denise;3
Zia;Amelia;4
Zia;Marika;0
Zia;Valentina;0
Zia;Desiree;5
Zia;Serena;1
Zia;Federica;0
Zia;Stefania;0
Zia;Antonella;0
Zia;Vida;0
Zia;Frida;0
Zia;Luisa;0
Zia;Monica;0
Zia;Isabella;1
Zia;Ondina;0
Zia;Petra;0
Zia;Penelope;0
Zia;Dafne;0
Zia;Violante;0
Zia;Guendalina;0
Zia;Delfina;0
Zia;Elettra;0
Zia;Miranda;1
Zia;Alma;0
Zia;Bice;0
Zia;Ada;0
Zia;Egle;0
Zia;Febe;0
Zia;Ida;0
Zia;India;0
Zia;Iris;0
Zia;Lea;0
Zia;Nives;0
Zia;Elvira;0
Zia;Rita;0
Zia;Irma;0
Zia;Vanda;0
Zia;Adalgisa;0
Zia;Amelia;3
Zia;Iole;0
Zia;Serafina;0
Zia;Evelina;0
Zia;Antonia;0
Zia;Soraya;0
Zia;Jasmine;0
Zia;Zahra;0
Zia;Sharon;0
Zia;Guadalupe;0
Zia;Sawana;0
Zia;Lilibeth;0
Zia;Amabel;0
Zia;Fleur;0
Zia;Hester;0
Zia;Alesia;3
Zia;Betta;0
Zia;Cesira;0
Zia;Clara;0
Zia;Fabiola;0
Zia;Fabrizia;0
Zia;Giuditta;0
Zia;Lena;0
Zia;Nina;0
Zia;Aria;0
Zia;Ava;0
Zia;Elena;0
Zia;Eliana;0
Zia;Ella;0
Zia;Emilia;5
Zia;Evelyn;0
Zia;Luna;0
Zia;Dariya;9
Zia;Ilaria;0
Zia;Michela;10
Mamma;Sofia;6
Mamma;Giulia;2
Mamma;Alice;0
Mamma;Aurora;0
Mamma;Ginevra;0
Mamma;Emma;4
Mamma;Giorgia;0
Mamma;Greta;0
Mamma;Martina;0
Mamma;Beatrice;0
Mamma;Anna;0
Mamma;Chiara;10
Mamma;Sara;0
Mamma;Nicole;9
Mamma;Ludovica;0
Mamma;Gaia;0
Mamma;Matilde;0
Mamma;Vittoria;4
Mamma;Noemi;4
Mamma;Francesca;0
Mamma;Alessia;0
Mamma;Camilla;0
Mamma;Bianca;0
Mamma;Arianna;0
Mamma;Rebecca;0
Mamma;Elena;0
Mamma;Viola;0
Mamma;Mia;3
Mamma;Elisa;1
Mamma;Giada;0
Mamma;Adele;0
Mamma;Marta;0
Mamma;Gioia;0
Mamma;Asia;0
Mamma;Maria;0
Mamma;Isabel;3
Mamma;Melissa;3
Mamma;Carlotta;0
Mamma;Eleonora;0
Mamma;Miriam;0
Mamma;Emily;6
Mamma;Irene;0
Mamma;Margherita;0
Mamma;Anita;0
Mamma;Benedetta;0
Mamma;Caterina;0
Mamma;Azzurra;0
Mamma;Eva;0
Mamma;Rachele;0
Mamma;Cecilia;0
Mamma;Maya;0
Mamma;Simona;0
Mamma;Zoe;0
Mamma;Cloe;6
Mamma;Denise;0
Mamma;Amelia;5
Mamma;Marika;0
Mamma;Valentina;0
Mamma;Desiree;0
Mamma;Serena;0
Mamma;Federica;0
Mamma;Stefania;0
Mamma;Antonella;0
Mamma;Vida;0
Mamma;Frida;0
Mamma;Luisa;0
Mamma;Monica;3
Mamma;Isabella;5
Mamma;Ondina;0
Mamma;Petra;0
Mamma;Penelope;0
Mamma;Dafne;0
Mamma;Violante;0
Mamma;Guendalina;0
Mamma;Delfina;0
Mamma;Elettra;0
Mamma;Miranda;0
Mamma;Alma;0
Mamma;Ada;0
Mamma;Egle;0
Mamma;Febe;0
Mamma;Ida;0
Mamma;India;0
Mamma;Iris;0
Mamma;Lea;5
Mamma;Nives;0
Mamma;Elvira;0
Mamma;Rita;0
Mamma;Irma;0
Mamma;Vanda;0
Mamma;Adalgisa;0
Mamma;Iole;0
Mamma;Serafina;0
Mamma;Evelina;0
Mamma;Antonia;0
Mamma;Soraya;0
Mamma;Jasmine;0
Mamma;Zahra;0
Mamma;Sharon;0
Mamma;Guadalupe;0
Mamma;Sawana;0
Mamma;Lilibeth;0
Mamma;Amabel;0
Mamma;Fleur;0
Mamma;Hester;0
Mamma;Alesia;0
Mamma;Betta;0
Mamma;Bice;0
Mamma;Cesira;0
Mamma;Clara;0
Mamma;Fabiola;0
Mamma;Fabrizia;0
Mamma;Giuditta;0
Mamma;Lena;0
Mamma;Nina;0
Mamma;Aria;0
Mamma;Ava;0
Mamma;Eliana;0
Mamma;Ella;0
Mamma;Emilia;4
Mamma;Evelyn;0
Mamma;Luna;0
Mamma;Dariya;0
Mamma;Ilaria;0
Mamma;Michela;10
Papa;Sofia;7
Papa;Giulia;7
Papa;Alice;4
Papa;Aurora;5
Papa;Ginevra;4
Papa;Emma;6
Papa;Giorgia;4
Papa;Greta;3
Papa;Martina;5
Papa;Beatrice;4
Papa;Anna;8
Papa;Chiara;8
Papa;Sara;6
Papa;Nicole;6
Papa;Ludovica;4
Papa;Gaia;8
Papa;Matilde;3
Papa;Vittoria;7
Papa;Noemi;2
Papa;Francesca;4
Papa;Alessia;5
Papa;Camilla;7
Papa;Bianca;5
Papa;Arianna;6
Papa;Rebecca;3
Papa;Elena;2
Papa;Viola;2
Papa;Mia;8
Papa;Elisa;7
Papa;Giada;6
Papa;Adele;4
Papa;Marta;5
Papa;Gioia;6
Papa;Asia;5
Papa;Maria;5
Papa;Isabel;6
Papa;Melissa;5
Papa;Carlotta;4
Papa;Eleonora;4
Papa;Miriam;6
Papa;Emily;7
Papa;Irene;3
Papa;Margherita;4
Papa;Anita;8
Papa;Benedetta;5
Papa;Caterina;2
Papa;Azzurra;1
Papa;Eva;7
Papa;Rachele;4
Papa;Cecilia;3
Papa;Maya;9
Papa;Simona;4
Papa;Zoe;5
Papa;Cloe;2
Papa;Denise;2
Papa;Amelia;6
Papa;Marika;3
Papa;Valentina;1
Papa;Desiree;1
Papa;Serena;7
Papa;Federica;6
Papa;Stefania;4
Papa;Antonella;4
Papa;Vida;4
Papa;Luisa;6
Papa;Monica;5
Papa;Isabella;8
Papa;Ondina;2
Papa;Petra;2
Papa;Frida;1
Papa;Penelope;3
Papa;Dafne;2
Papa;Violante;1
Papa;Guendalina;1
Papa;Delfina;0
Papa;Elettra;1
Papa;Miranda;1
Papa;Alma;2
Papa;Bice;0
Papa;Ada;2
Papa;Egle;0
Papa;Febe;2
Papa;Ida;2
Papa;India;2
Papa;Iris;5
Papa;Lea;8
Papa;Nives;1
Papa;Elvira;2
Papa;Rita;6
Papa;Irma;2
Papa;Vanda;2
Papa;Adalgisa;4
Papa;Amelia;6
Papa;Iole;2
Papa;Serafina;5
Papa;Evelina;4
Papa;Antonia;5
Papa;Soraya;2
Papa;Jasmine;7
Papa;Zahra;2
Papa;Sharon;4
Papa;Guadalupe;4
Papa;Sawana;6
Papa;Lilibeth;7
Papa;Amabel;5
Papa;Fleur;2
Papa;Hester;1
Papa;Alesia;5
Papa;Betta;4
Papa;Cesira;2
Papa;Clara;5
Papa;Fabiola;5
Papa;Fabrizia;3
Papa;Giuditta;3
Papa;Lena;2
Papa;Nina;7
Papa;Aria;5
Papa;Ava;5
Papa;Eliana;3
Papa;Ella;6
Papa;Emilia;6
Papa;Evelyn;5
Papa;Luna;5
Papa;Dariya;6
Papa;Ilaria;6
Papa;Michela;9
