parent,name,rate
Mamma,Sofia,6
Mamma,Giulia,2
Mamma,Alice,0
Mamma,Aurora,0
Mamma,Ginevra,0
Mamma,Emma,4
Mamma,Giorgia,0
Mamma,Greta,0
Mamma,Martina,0
Mamma,Beatrice,0
Mamma,Anna,0
Mamma,Chiara,10
Mamma,Sara,0
Mamma,Nicole,9
Mamma,Ludovica,0
Mamma,Gaia,0
Mamma,Matilde,0
Mamma,Vittoria,4
Mamma,Noemi,4
Mamma,Francesca,0
Mamma,Alessia,0
Mamma,Camilla,0
Mamma,Bianca,0
Mamma,Arianna,0
Mamma,Rebecca,0
Mamma,Elena,0
Mamma,Viola,0
Mamma,Mia,3
Mamma,Elisa,1
Mamma,Giada,0
Mamma,Adele,0
Mamma,Marta,0
Mamma,Gioia,0
Mamma,Asia,0
Mamma,Maria,0
Mamma,Isabel,3
Mamma,Melissa,3
Mamma,Carlotta,0
Mamma,Eleonora,0
Mamma,Miriam,0
Mamma,Emily,6
Mamma,Irene,0
Mamma,Margherita,0
Mamma,Anita,0
Mamma,Benedetta,0
Mamma,Caterina,0
Mamma,Azzurra,0
Mamma,Eva,0
Mamma,Rachele,0
Mamma,Cecilia,0
Mamma,Maya,0
Mamma,Simona,0
Mamma,Zoe,0
Mamma,Cloe,6
Mamma,Denise,0
Mamma,Amelia,5
Mamma,Marika,0
Mamma,Valentina,0
Mamma,Desiree,0
Mamma,Serena,0
Mamma,Federica,0
Mamma,Stefania,0
Mamma,Antonella,0
Mamma,Vida,0
Mamma,Frida,0
Mamma,Luisa,0
Mamma,Monica,3
Mamma,Isabella,5
Mamma,Ondina,0
Mamma,Petra,0
Mamma,Frida,0
Mamma,Penelope,0
Mamma,Dafne,0
Mamma,Violante,0
Mamma,Guendalina,0
Mamma,Delfina,0
Mamma,Elettra,0
Mamma,Miranda,0
Mamma,Alma,0
Mamma,Bice,0
Mamma,Ada,0
Mamma,Egle,0
Mamma,Febe,0
Mamma,Ida,0
Mamma,India,0
Mamma,Iris,0
Mamma,Lea,5
Mamma,Nives,0
Mamma,Elvira,0
Mamma,Rita,0
Mamma,Irma,0
Mamma,Vanda,0
Mamma,Adalgisa,0
Mamma,Amelia,3
Mamma,Iole,0
Mamma,Serafina,0
Mamma,Evelina,0
Mamma,Antonia,0
Mamma,Soraya,0
Mamma,Jasmine,0
Mamma,Zahra,0
Mamma,Sharon,0
Mamma,Guadalupe,0
Mamma,Sawana,0
Mamma,Lilibeth,0
Mamma,Amabel,0
Mamma,Fleur,0
Mamma,Hester,0
Mamma,Alesia,0
Mamma,Betta,0
Mamma,Bice,0
Mamma,Cesira,0
Mamma,Clara,0
Mamma,Fabiola,0
Mamma,Fabrizia,0
Mamma,Giuditta,0
Mamma,Lena,0
Mamma,Nina,0
Mamma,Aria,0
Mamma,Ava,0
Mamma,Elena,0
Mamma,Eliana,0
Mamma,Ella,0
Mamma,Emilia,4
Mamma,Evelyn,0
Mamma,Luna,0
Mamma,Dariya,0
Mamma,Ilaria,0
Mamma,Michela,10
